	218RZ_MBS072_C_POST	135EA_MBS074_C_POST	808ZJ_MBS076_C_POST	218RZ_MBS084_C_POST	276AQ_MBS086_A_INITIAL	148JV_MBS088_A_INITIAL	308HP_MBS089_A_INITIAL	135EA_MBS090_C_POST	276AQ_MBS091_B_CLOSING	148JV_MBS092_B_CLOSING	308HP_MBS093_B_CLOSING	808ZJ_MBS094_C_POST	276AQ_MBS095_C_POST	308HP_MBS096_C_POST	148JV_MBS098_C_POST	308HP_MBS099_B_CLOSING	276AQ_MBS100_C_POST	808ZJ_MBS101_A_INITIAL	135EA_MBS303_A_INITIAL	135EA_MBS304_B_CLOSING	808ZJ_MBS305_A_INITIAL	218RZ_MBS306_A_INITIAL	218RZ_MBS307_A_INITIAL	218RZ_MBS308_C_POST	808ZJ_MBS309_C_POST	135EA_MBS311_C_POST	818VB_MBS527_A_INITIAL	818VB_MBS534_C_POST	308HP_MBS535_C_POST	818VB_MBS537_B_CLOSING	818VB_MBS544_C_POST	392XO_MBS545_B_CLOSING	308HP_MBS546_C_POST	392XO_MBS547_C_POST	392XO_MBS549_A_INITIAL	276AQ_MBS550_C_POST	148JV_MBS551_C_POST	392XO_MBS552_C_POST	818VB_MBS553_C_POST	392XO_MBS587_C_POST	809BP_MBS097_A_INITIAL	412AD_MBS295_A_INITIAL	412AD_MBS296_C_POST	412AD_MBS297_C_POST	412AD_MBS298_C_POST	715BH_MBS528_B_CLOSING	715BH_MBS529_A_INITIAL	715BH_MBS530_A_INITIAL	809BP_MBS531_C_POST	715BH_MBS532_A_INITIAL	809BP_MBS533_B_CLOSING	809BP_MBS536_C_POST	715BH_MBS539_B_CLOSING	809BP_MBS542_A_INITIAL	715BH_MBS543_C_POST	715BH_MBS548_C_POST	664SB_MBS585_B_CLOSING	664SB_MBS586_C_POST
Bacteroides xylanisolvens	1.020119179	1.045479055	NA	NA	1.186019759	1.174334592	1.383561644	1.091503268	1.259394156	NA	1.211977955	NA	1.335162518	1.137500593	NA	1.007297296	1.398849093	1.265623026	1.101195598	1.132430103	1.241450613	NA	NA	1.239748927	1.212473158	1.21935019	NA	NA	1.161366429	NA	NA	1.380952381	1.133187375	NA	NA	1.306526516	NA	NA	NA	NA	1.268842684	NA	NA	NA	NA	NA	NA	1.286668242	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.051027907
Streptococcus salivarius	1.76002918	1.63181589	1.802018282	1.363636364	NA	1.711712008	1.689573418	1.531758308	NA	NA	1.64195043	1.735533823	NA	NA	NA	NA	NA	1.924419561	1.814906388	1.887698826	NA	NA	NA	NA	NA	1.594400476	1.611003159	NA	NA	NA	1.893617245	NA	NA	NA	NA	NA	1.744878771	1.563491212	1.709244361	1.541907985	1.521159567	NA	NA	NA	1.608687594	NA	1.576849353	NA	NA	NA	NA	1.917557057	NA	1.625100807	1.629089308	1.900568234	NA	2.013791038
Enterobacter cloacae	NA	NA	NA	NA	1.444331943	1.562510337	1.620487853	1.93336307	NA	NA	1.334945945	NA	NA	1.500091342	1.200784141	NA	1.274335965	NA	NA	NA	NA	1.739338101	1.374230497	1.631578947	1.223529412	NA	NA	NA	NA	NA	NA	1.291351522	1.166666667	1.144549761	1.444444444	NA	1.250013462	NA	1.571360047	NA	1.606254226	NA	1.343105762	NA	NA	NA	1.3	NA	NA	NA	NA	NA	NA	1.285734271	NA	1.408887223	1.245083738	NA
Eubacterium limosum	0.935849057	1.037257824	0.957746479	NA	1.230769231	1.125	NA	1.55513308	1.292460646	0.913043478	NA	NA	1.3125	NA	0.91954023	NA	NA	NA	1.466666667	1.666666667	NA	NA	NA	NA	NA	1.203007519	NA	1.057142857	NA	NA	0.896551724	NA	NA	1.2	1.113475177	1.2	0.876190476	1.103174603	NA	1.032258065	1.183013145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.958142847	NA	NA	NA	1.230769231
Acidaminococcus intestini	NA	NA	1.2239323	NA	NA	0.993481095	NA	1.124168514	NA	1.047619048	NA	1.023997258	NA	NA	0.990313448	NA	NA	1.051919962	NA	NA	1.095940959	NA	NA	NA	1.235554453	NA	0.956384656	0.986926684	1.090909091	1.062253892	NA	NA	NA	NA	NA	1	0.95386891	NA	NA	NA	NA	NA	NA	NA	NA	1.134082662	1	1.020833333	1	NA	1.071428571	1.083333333	1.009684685	NA	NA	NA	NA	NA
Eubacterium rectale	NA	1.100349356	NA	NA	1.096249886	NA	1.19687225	1.23222061	NA	NA	1.183994187	NA	1.13260177	1.27027027	NA	1.189655172	1.261904762	1.146595784	1.118465455	1.04168275	NA	NA	NA	NA	NA	1.185285095	1.147540984	NA	NA	NA	NA	NA	NA	NA	NA	1.24322046	1	NA	1.159007612	NA	NA	1.090909091	NA	NA	NA	NA	1.138888889	NA	NA	NA	NA	NA	NA	1.072106426	NA	NA	NA	1.235294118
Roseburia hominis	NA	1.065061781	1.20979021	NA	1.460371887	NA	1.158054711	1.172413793	1.41834279	NA	1.119850187	1.083023365	1.198304094	1.091184443	NA	NA	1.358259038	1.26440678	1.068432473	NA	1.19430441	NA	NA	NA	NA	NA	1.136282924	NA	1.037593985	NA	NA	NA	1.047871488	NA	NA	1.275076331	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.032365431	NA	1.051158223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
butyrate-producing bacterium SS3/4	NA	1.4	NA	NA	NA	NA	1.237487066	1.166666667	1.168719565	NA	1.148571429	1.142857143	NA	NA	NA	NA	NA	1.441860465	1.226744186	1.244791667	1.182899853	NA	NA	NA	1.370242215	1.264114431	1.222222222	1.419022563	NA	NA	1.412307692	NA	1.264600424	NA	NA	1.310884354	NA	NA	1.401487088	NA	NA	NA	NA	NA	NA	1.082251082	NA	1.170094234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Veillonella parvula	NA	NA	1.210526316	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.000038607	NA	NA	NA	1.07504363	NA	NA	1.166666667	1.167584098	1	NA	1.202898551	NA	NA	NA	NA	NA	NA	NA	1.181818182	NA	1.022364217	NA	NA	1	NA	NA	1.132352941	NA	1.335993433	1.222222222	NA	1.259446197	1.142857143	1.148148148	1.12111667	NA	NA	NA
Eubacterium eligens	NA	NA	0.9375	NA	NA	NA	1.018664268	1.084745763	NA	NA	1.033378933	1.115384615	1.035785288	1.053497942	NA	1.043478261	1.044192413	1	NA	NA	1.097546729	NA	NA	NA	NA	NA	NA	NA	1.098265896	NA	NA	NA	1.031341535	NA	NA	1.107692308	NA	NA	NA	NA	1.071428571	NA	NA	NA	NA	NA	1.0425	NA	NA	NA	NA	NA	NA	1.067213115	NA	NA	NA	1.181818182
