	GH1	GH10	GH101	GH102	GH103	GH104	GH105	GH106	GH108	GH109	GH11	GH110	GH111	GH112	GH113	GH114	GH115	GH116	GH117	GH12	GH120	GH121	GH123	GH125	GH13	GH15	GH16	GH17	GH18	GH19	GH2	GH20	GH23	GH24	GH25	GH26	GH27	GH28	GH29	GH3	GH30	GH31	GH32	GH33	GH35	GH36	GH37	GH38	GH39	GH4	GH42	GH43	GH44	GH45	GH46	GH47	GH48	GH5	GH50	GH51	GH53	GH55	GH57	GH58	GH59	GH6	GH63	GH64	GH65	GH66	GH67	GH68	GH7	GH70	GH73	GH74	GH76	GH77	GH78	GH8	GH81	GH84	GH85	GH87	GH88	GH89	GH9	GH91	GH92	GH93	GH94	GH95	GH97	GH98	GH99	PL1	PL10	PL11	PL12	PL13	PL15	PL21	PL22	PL3	PL7	PL8	PL9	Number
P13E7	0.047762398	0.905202105	0.075354222	0.000380577	0	0	0.982839789	0.963620656	0	0.626429542	0	0.363641207	0	0.108844987	0.002093173	0	1.355995418	0	0	0	0.038818842	0.139671714	0.774854524	0.827374134	4.438477845	0.167263538	0.2633592	0	0.610445313	0.000190288	13.77631213	5.012007201	1.171225343	0.19143017	0.219973436	0.150327867	0.240334299	1.884997279	1.469407328	6.478940778	1.042780647	3.142803862	1.027367283	0.769526448	0.840504036	2.705901606	0	0.622243196	0.011417306	0.004376634	0.346705536	5.497623297	0	0	0	0	0	0.639749733	0.465635811	2.176519168	0.05004586	0	0.636705118	0	0.00608923	0	0.442040044	0	0.401508607	0.347847267	0.275157083	0	0	0.000190288	0.607971563	0.008182403	1.195772552	1.221461491	3.817756956	0.002283461	0	0.381718609	0.039199418	0	1.003200652	0.9168097	0.016935671	0.447748697	11.10846822	0	0.086961817	2.159583497	3.215874623	0	0.12920585	0.985884404	0.17316248	0.552597627	1.217275146	0.594270796	0.663535788	1.850364783	0	0	0	1.99707717	0.109035276	72
P13E90	0.232602768	0.939851369	0.033273184	0.003249939	0.001702349	0.001238072	0.95362492	0.786175689	0	0.878412049	0.000154759	0.229043311	0.000309518	0.336136535	0.014856863	0	2.894921738	0	0	0	0.064070223	0.033737461	0.492597877	0.678463429	6.511639424	0.0800104	0.279030466	0	1.269797544	0.000309518	13.34068954	4.277848107	1.483519715	0.365695502	0.436729881	0.276244804	0.332112801	1.763788253	1.435544427	5.828687984	1.174001727	2.953265879	1.074182176	0.566417917	0.761569009	2.456489509	0.002940421	0.477741014	0.015940176	0.028785173	0.567965507	5.917983924	0	0	0	0.000154759	0	1.018468938	0.294815883	1.813930167	0.323755815	0	0.734950462	0.008976022	0.036832641	0.000154759	0.42295633	0	0.592262669	0.263245048	0.180448987	0.000464277	0	0.001702349	0.810318092	0.061439321	1.032397248	1.441425268	2.603510553	0.076605702	0	0.262471254	0.030642281	0	1.220584184	0.865567052	0.034046979	0.35532665	7.676355611	0	0.702296314	1.743050547	3.730465546	0	0.080319918	0.971576963	0.155223271	0.335827017	1.546506625	0.587310382	0.986124309	1.779883188	0	0	0	1.94563007	0.132473699	76
P14E0	0.361967114	0.161417767	0	0.001881326	0.000376265	0	1.711254092	1.424163751	0	1.414380856	0	0.565526583	0.000376265	0.165180419	0.015803138	0.000376265	1.237912481	0	0.014674342	0	0.045151823	0	0.662603003	0.360462054	5.246641833	0.354065545	0.338262407	0	0.831922339	0	15.28765474	4.945253415	1.433194115	0.262633104	0.485758362	0.277683711	0.397336042	2.862625579	2.744478308	10.29875456	1.152124017	2.341498288	0.901531399	0.461301125	0.875945366	2.39530421	0.001128796	0.296873236	0.068104	0.03988411	0.524513677	5.217293148	0	0	0	0	0	2.644768033	0.103096663	1.941528389	0.182864883	0	0.752906649	0	0.021447116	0.000376265	0.82402077	0	0.616698649	0.085035933	0.368363623	0.000376265	0	0.001128796	0.446626783	0.025962298	0.298002032	1.211573917	2.312902133	0.059073635	0	0.417654363	0.027091094	0	1.134815818	0.650562516	0.231026828	0.092561237	5.736539113	0	1.058433984	1.915566091	3.313391278	0	0.013169282	0.580577191	0.211084773	0.950822139	0.917710803	0.263009369	0.302140949	0.168566806	0	0	0	1.128795575	0.03837905	74
P14E7	0.212138036	0.139087748	0.009058236	0.002337609	0.000876603	0	1.732460626	1.472401601	0.000584402	1.375975221	0	0.61420682	0	0.215352248	0.006428425	0	1.210297169	0	0.026590305	0.000292201	0.015486661	0.008181632	0.671770447	0.494696549	4.402010344	0.315285042	0.465184233	0	0.733717091	0	15.46416153	5.148876487	1.663793355	0.265903048	0.378400491	0.346258364	0.463138825	2.84516261	2.704321655	8.597142273	1.000496742	2.406276481	0.84270812	0.558688601	0.914589603	2.124886772	0.001461006	0.426029279	0.269993864	0.026590305	0.371679864	5.471758759	0	0	0	0	0	2.064401134	0.145223972	2.36536832	0.011980247	0	0.709464395	0	0.052304006	0	0.804429769	0	0.594044941	0.133828127	0.323758876	0	0	0	0.537065716	0.052304006	0.497034158	1.184291266	2.838441983	0.007305029	0	0.496741957	0.002045408	0	1.008970575	0.775209654	0.13207492	0.187593139	7.460479794	0	0.55079917	2.133945008	3.373754493	0	0.000876603	0.608070596	0.250124185	0.941472109	0.664465418	0.234053122	0.47453467	0.080939719	0	0	0	0.885369488	0.071881483	74
P14E90	0.389889947	0.105491247	0.000356389	0.002494725	0.000356389	0	1.504319439	1.187845698	0.000356389	1.269102469	0	0.545275703	0.000712779	0.193163027	0.010335291	0	1.127615898	0	0.012473627	0	0.040984775	0.003207504	0.620473855	0.435864173	7.359083652	0.280122028	0.429805554	0	1.042082454	0	14.99401266	4.805197582	1.581655927	0.182471346	0.516051776	0.341420996	0.479700063	2.519316303	2.428437019	10.19451731	0.960112904	2.206406455	0.848563038	0.390959115	0.721332041	2.416319781	0.000712779	0.339639049	0.097294292	0.042766722	0.429805554	4.696142442	0	0	0	0	0	2.817257798	0.080543993	1.827208188	0.155742145	0	0.822190226	0	0.064506472	0	0.754119861	0	0.732380111	0.075554542	0.270499515	0.001781947	0	0.004989451	0.526743457	0.075198152	0.368506586	1.294762502	2.051733478	0.045261447	0	0.392028283	0.002138336	0	1.089482238	0.656825569	0.15859326	0.104778468	6.063608371	0	0.88028169	1.825782631	3.424545247	0	0.003207504	0.534940412	0.199934424	0.778710726	1.103381422	0.337857102	0.342133774	0.236998917	0	0	0	1.297970006	0.060942579	72
P17E0	0.142727984	0.054348378	0.040888266	0.003047573	0.001523786	0	1.324424263	1.193378641	0	0.862463048	0	0.483802152	0	0.205457187	0.000253964	0	2.862940501	0	0.068570384	0	0.009142718	0.050792877	0.664624793	0.721766779	5.282713152	0.193774825	0.45129471	0	3.374932699	0.000507929	13.2323063	4.917766332	1.159093449	0.398216154	0.296884365	0.195552576	0.28850354	2.462692632	2.104348886	6.39482319	0.7380205	2.753481852	1.014587714	0.619165168	0.642275927	2.712339621	0.002539644	0.305011225	0.035047085	0.024380581	0.464246894	5.039415272	0	0	0	0	0	0.666148579	0.440120278	2.024350105	0.122918762	0	0.865510621	0	0.002285679	0	0.564054897	0	0.5155477	0.213838011	0.167108565	0.000253964	0	0.001015858	1.3277258	0.005841181	0.777131015	2.159205193	2.600849257	0.029205904	0	0.311614299	0.010920469	0	1.326202013	1.131665295	0.022348866	0.068062455	7.886863946	0.006603074	0.245075631	1.835400603	4.144698747	0	0.090665285	0.869828015	0.229837768	0.807352777	0.896494276	0.241266165	0.931795325	0.877192982	0.000253964	0	0	1.298265931	0.047745304	75
P17E7	0.173464986	0.223241895	0	0.000301678	0	0	1.765119359	1.852907726	0	1.121036325	0	0.564138301	0	0.184928759	0.004223495	0	3.28014746	0	0.000905035	0	0	0	0.589780951	0.771692928	4.593051144	0.173464986	0.38132129	0	0.54905439	0	15.47217169	4.58852597	0.886934014	0.159889465	0.345723258	0.118559547	0.274527195	3.0134639	2.321715704	7.069829461	0.836855427	3.557993116	1.09448864	0.546339285	0.757514051	1.930439032	0	0.315555435	0.038313136	0.06335243	0.502294263	5.37349274	0	0	0	0	0.000301678	0.628094087	0.468506301	2.157904422	0.048871874	0	0.374684369	0	0.012972164	0	0.708943855	0	0.534573834	0.346628293	0.075721237	0	0	0	0.68239617	0.034089641	1.025102646	1.383194712	3.433400004	0.01538559	0	0.278449012	0.041329918	0	1.262523418	1.353630245	0.019609085	0.043743344	8.271112197	0.000301678	0.288706072	2.039043197	4.129975051	0	0.008748669	0.779234884	0.240739232	1.159349461	0.466092875	0.1538559	0.580127248	0.073911168	0	0	0	0.979549232	0.026547685	71
P17E90	0.103623569	0.041660122	0.009098188	0.000670393	0.000287311	0	1.543818787	1.246643248	0	0.935772541	9.58E-05	0.44485349	0.000191541	0.116456802	0.000287311	0	2.470684682	0	0.061963446	0	0.023463747	0.014748641	0.689451082	0.758022686	4.825104102	0.151125685	0.588030233	0	1.59534326	0.000191541	14.07911018	5.501434641	1.009132665	0.270359829	0.26346436	0.20782176	0.344198804	2.627652361	2.264491019	6.28205914	0.71052057	2.999433039	0.988254719	0.788381902	0.853984623	2.905482281	9.58E-05	0.358085511	0.039744714	0.022601814	0.445236572	5.197267862	0	0	0	0	9.58E-05	0.660432652	0.455484004	1.928241158	0.121149551	0	0.682459843	0	0.000957704	0	0.573377362	0	0.637830839	0.265475538	0.190391548	9.58E-05	0	0.001245015	1.1118943	0.001436556	0.867488249	1.393267724	2.830781372	0.020686406	0	0.389402431	0.00249003	0	1.377369838	1.226148383	0.025570696	0.081596378	8.375983083	0.007374321	0.191732333	1.988289196	3.844798327	0	0.119042603	1.020337801	0.234829012	0.893346256	0.800544742	0.252833846	1.052612425	0.776985225	0	0	0	1.315406392	0.051524473	73
P18E0	0.130005709	0.162544798	0.036154543	0.000451932	0.000301288	0	2.018628628	1.868587276	0	1.673955322	0	0.963217272	0.000451932	0.232594224	0.018529203	0	1.603755252	0	0	0	0.070049426	0.056792761	0.684977938	0.42843133	7.494234104	0.282156076	0.88412921	0	0.526500527	0	14.55883173	5.732302728	1.274146339	0.099274348	0.488538257	0.045042534	0.43189614	3.104620701	3.159003159	4.725097429	1.123201123	3.805868184	0.770091757	0.666448735	1.049686887	2.632502633	0	0.203218658	0.03299102	0.019282423	0.554972229	6.516103083	0	0	0	0	0.000150644	0.37435016	0.189058129	1.793265313	0.250520851	0	0.633156427	0	0.002410303	0	1.23738922	0	1.094277489	0.078786774	0.393481939	0	0	0.000903864	0.35326001	0.00421803	0.256546608	1.594716616	2.341157277	0.064324957	0	0.607546959	0.016420188	0	1.087950444	1.131637183	0.033894884	0.070350714	5.39561355	0	0.476336099	2.591979416	4.135326453	0.000451932	0	0.766024371	0.316502892	0.886388869	0.240728996	0.029978142	0.396946749	0	0	0	0	0.612367565	0.003012879	70
P18E7	0.050307547	0.283734564	0.005768599	0.009793202	0.006036906	0.000670767	1.264530496	1.728164848	0	0.637228926	0	0.297820677	0	0.113762133	0.004158757	0	2.934472743	0	0	0	0	0.008585821	0.516088353	1.284519362	2.69071591	0.066942576	0.832288054	0	0.466585727	0.002817223	13.70645882	3.987040776	1.120583836	0.144349121	0.344506081	0.327334438	0.088138822	2.403090896	1.703212305	7.314046538	0.285746866	3.259258266	0.901377085	0.574847568	0.70604965	2.663751065	0.010732277	0.598458577	0.000804921	0.024415929	0.372007539	5.889336812	0	0	0	0	0	1.022115198	1.003333713	1.961189405	0.001341535	0	0.67036483	0	0.000536614	0	0.445255328	0	1.47568804	0.435596279	0.162593991	0	0	0	0.3084188	0.000670767	1.543837996	1.481724945	3.894743197	0.004427064	0	0.075528397	0.002951376	0	1.781960384	1.732726065	0.051246621	0.496233642	8.737146422	0	0.022537781	1.560741332	3.239940168	0	0	0.885412824	0.198681272	1.147816988	1.381780619	0.165813674	2.37143068	0	0	0	0	1.688187117	0.010598123	68
P18E90	0.105109409	0.184828754	0.011875998	0.002047586	0.002047586	0	1.85197319	1.9308735	0	1.470439685	0.000136506	0.821627967	0.000682529	0.184146225	0.011056964	0	1.945206601	0	0	0	0.012558527	0.018291767	0.534146907	0.772212894	3.98856082	0.265913155	0.971238243	0	0.89820768	0	14.74548507	4.702622275	1.291480678	0.150019793	0.405285502	0.093506423	0.303998253	3.303438579	2.876585173	5.802175901	1.014237547	3.24528714	0.882782533	0.480500157	0.702048951	2.15160326	0.001365057	0.20571413	0.012558527	0.01883779	0.343857925	6.845079651	0	0	0	0	0	0.595574484	0.361467164	1.993256617	0.090366791	0	0.717883615	0	0.004641195	0	1.169308052	0	1.65267483	0.174454318	0.390133366	0.000136506	0	0.000273011	0.490738086	0.005187218	0.540016654	1.627148259	2.902930778	0.02074887	0	0.331026387	0.005050712	0	1.396726593	0.937521329	0.060745048	0.233424792	7.07795842	0	0.213904473	2.190916909	4.430293351	0	0	0.844560929	0.311506068	0.991304585	0.381806517	0.054329279	0.701229917	0	0	0	0	1.003180583	0.010237929	72
P19E0	0.303787634	0.048737944	0	0	0	0	1.887221131	0.604277213	0	1.93339392	0	0.937380904	0.002565155	0.324308874	0.006596113	0	0.49910586	0	0	0	0.029682507	0.000366451	1.196461552	0.13009	11.19103808	0.160505409	1.176673214	0	0.644220339	0	14.17028231	10.28883645	1.915437835	0.091246226	0.541980593	0.040309578	0.895605523	1.407170707	3.686860544	4.032790009	0.647884847	4.395576207	0.61343848	1.638401102	2.082905808	4.10058339	0	0.108469409	0.418853156	0.068892733	0.281800592	3.073788514	0	0	0	0	0	0.603177861	0.064128873	1.417431327	0.11433262	0	0.897437777	0	0.002198704	0	0.834408255	0	0.468324001	0.033347014	0.020521239	0.001465803	0	0.013925127	0.325774677	0.014291577	0.123860338	1.871463751	0.914294509	0.030048958	0	1.34633989	0.02088769	0	0.547477353	2.318533611	0.478951072	0.172964733	3.036044091	0	0.843935974	3.173829556	2.361408343	0	0.016856732	0.314048254	0.113966169	0.179560845	0.347395268	0.128624197	0.256881944	0.035179268	0	0	0	0.492143297	0.059731465	73
P19E7	0.722079756	0.034261153	0.002076434	0.082019124	0.059697464	0.00311465	1.850102264	0.646289932	0	1.945099098	0	0.941143492	0	0.288624259	0.005710192	0	1.260395145	0	0	0	0.012977709	0.004152867	1.194987489	0.15054143	7.596112916	0.168710223	1.131137159	0	0.8487422	0.000519108	15.20364622	10.0234637	2.541035517	0.144831238	0.428783521	0.036856695	0.891309088	1.544866537	3.654003883	3.845554875	0.673802677	4.169478504	0.568942784	1.558882463	1.980917576	3.947819226	0.157808947	0.333786688	0.904286797	0.290181584	0.201414051	3.051838163	0	0	0	0	0	0.438127472	0.069560523	2.107060912	0.014535035	0	0.918302723	0	0.002076434	0	0.964503369	0	0.570500109	0.034261153	0.01609236	0	0	0	0.372719816	0.011420384	0.126662445	1.829337929	1.093761355	0.05450638	0	1.311267766	0.011420384	0	0.643694391	2.134573656	0.030108286	0.14742678	3.428191738	0	0.505611562	3.018615226	2.51144634	0.000519108	0.011939493	0.29796821	0.123028686	0.196742076	0.281356742	0.129257986	0.285509609	0.048277079	0	0	0	0.620853622	0.028550961	75
P19E90	0.434249429	0.09701317	0.00041997	0.001259911	0.001259911	0	1.745397124	0.688331541	0	1.737417686	0	0.747547373	0.002519823	0.450208305	0.012179143	0	0.656833759	0	0	0	0.011759172	0	0.956272678	0.187726784	6.711127537	0.2230043	0.925194866	0	0.928134659	0	15.42383416	8.372950544	1.427059535	0.144049859	0.55184115	0.076014649	0.814742642	1.820151861	3.102321597	9.130997178	0.903776374	3.53153138	0.611896922	1.17087757	1.671902298	3.506333154	0	0.18352708	0.321697353	0.112132106	0.288939659	3.235032254	0	0	0	0	0	2.219963715	0.070555033	1.41278054	0.056696009	0	1.005409219	0	0.000839941	0	0.722769117	0	0.585858756	0.039477221	0.05795592	0.001259911	0	0.004199704	0.393512297	0.028138019	0.189406666	1.628225373	1.165417955	0.02939793	0	0.910075931	0.047876629	0	0.860519419	1.74161739	0.165888321	0.188146754	3.786033463	0	1.245632307	2.468166241	2.67059199	0.000839941	0.020158581	0.400651794	0.133550598	0.215444833	0.378393361	0.115491869	0.191926488	0.132710657	0	0	0	1.099482596	0.059215831	72
