Sample	cell_wall	mucin	peptidoglycan	Tags	Treatment	Days	Cage	Total Bacteria	cell_wall_N	mucin_N	peptidoglycan_N
MBS698	146082	12193	7337	BCBA-7-2	BCBA	7	2	183023	79.81619796	6.662004229	4.008785781
MBS699	581944	49789	34630	BA-7-1	BA	7	1	735943	79.07460225	6.765333728	4.705527466
MBS700	48498	2532	351	BA-7-2	BA	7	2	78915	61.45599696	3.208515491	0.444782361
MBS701	303698	29041	16910	BTBA-7-1	BTBA	7	1	375102	80.9641111	7.742160799	4.508107128
MBS702	153079	20874	5016	BTBA-7-2	BTBA	7	2	178256	85.87593124	11.71012476	2.813930527
MBS704	48498	2532	351	PBS-7-2	PBS	7	2	78915	61.45599696	3.208515491	0.444782361
MBS706	10416873	2889331	93833	BT-10-1	BT	10	1	9035790	115.284585	31.97651783	1.038459282
MBS707	8040727	2247291	67807	BT-10-2	BT	10	2	6914740	116.2838661	32.50000723	0.980615323
MBS708	1037440	86057	36766	BC-10-1	BC	10	1	1548928	66.97793571	5.555907053	2.373641641
MBS709	887978	61874	21958	BC-10-2	BC	10	2	1010945	87.83643027	6.12041209	2.172027163
MBS710	1006148	67426	32310	BCBA-10-1	BCBA	10	1	1481695	67.90520316	4.550599145	2.180610719
MBS711	846106	76557	23622	BCBA-10-2	BCBA	10	2	1130599	74.83696695	6.771366329	2.089334945
MBS712	1856202	281248	76483	BA-10-1	BA	10	1	3386927	54.80490132	8.303928605	2.258182713
MBS713	718704	87046	39087	BA-10-2	BA	10	2	981530	73.22282559	8.868399336	3.982252198
MBS714	10672229	2955662	90190	BTBA-10-1	BTBA	10	1	9101345	117.2599105	32.47500232	0.990952436
MBS715	11631637	3248798	96426	BTBA-10-2	BTBA	10	2	9928093	117.158824	32.72328331	0.971243924
MBS717	1126886	88176	34837	PBS-10-2	PBS	10	2	1623177	69.42471462	5.4323096	2.146223117
MBS718	11147871	3061446	104683	BT-13-1	BT	13	1	9776111	114.0317556	31.31558142	1.070804127
MBS719	9688937	2650064	92046	BT-13-2	BT	13	2	8524152	113.6645264	31.0888872	1.079825888
MBS720	1861120	194887	38152	BC-13-1	BC	13	1	2339743	79.54377895	8.329419086	1.630606438
MBS721	2194348	253310	68451	BC-13-2	BC	13	2	4118539	53.27976741	6.150482003	1.662021411
MBS722	2964979	364146	74612	BCBA-13-1	BCBA	13	1	4099692	72.32199394	8.88227701	1.819941596
MBS723	2373321	299128	70033	BCBA-13-2	BCBA	13	2	4340782	54.6749641	6.891108561	1.61337289
MBS724	2349125	264991	64202	BA-13-1	BA	13	1	4405078	53.32765958	6.015580201	1.457454329
MBS725	2746409	345467	70000	BA-13-2	BA	13	2	3842172	71.48063647	8.991450669	1.821886162
MBS726	7059785	1867042	73982	BTBA-13-1	BTBA	13	1	6470301	109.1106117	28.85556638	1.143408939
MBS727	6398912	1612533	73318	BTBA-13-2	BTBA	13	2	6373709	100.3954213	25.29975874	1.150319225
MBS729	2267055	275729	49596	PBS-13-2	PBS	13	2	2804560	80.83460507	9.831453062	1.768405739
MBS730	7548347	2047095	74226	BT-16-1	BT	16	1	6626485	113.9117798	30.89262256	1.120141372
MBS731	6605050	1759133	61378	BT-16-2	BT	16	2	5844567	113.0117937	30.09860269	1.050171895
MBS732	1250998	211263	37485	BC-16-1	BC	16	1	1762277	70.98759162	11.98806998	2.127077639
MBS733	1549698	174240	39763	BC-16-2	BC	16	2	2380313	65.10479924	7.320045725	1.670494595
MBS734	2434294	303898	57235	BCBA-16-1	BCBA	16	1	3781277	64.37756345	8.036914513	1.513642084
MBS735	2206970	262944	51714	BCBA-16-2	BCBA	16	2	3354480	65.79171735	7.838591973	1.541639837
MBS736	2382684	281943	56009	BA-16-1	BA	16	1	3878305	61.4362202	7.269747996	1.444161818
MBS737	2101449	251398	44138	BA-16-2	BA	16	2	2692017	78.06224849	9.338648307	1.639588457
MBS738	5738481	1379464	63196	BTBA-16-1	BTBA	16	1	5493690	104.4558575	25.10997162	1.150337933
MBS739	4676606	1092972	58382	BTBA-16-2	BTBA	16	2	4809315	97.24058416	22.72614707	1.213935872
MBS741	2036681	267367	51170	PBS-16-2	PBS	16	2	3149369	64.66949411	8.489541873	1.624769914
MBS742	6209025	1724034	52077	BT-19-1	BT	19	1	5335794	116.3655306	32.31073014	0.975993451
MBS743	6641268	1779992	64245	BT-19-2	BT	19	2	5912235	112.3309205	30.10692234	1.086644898
MBS744	2210565	331208	57640	BC-19-1	BC	19	1	2836532	77.93196058	11.67651202	2.032058866
MBS745	2071816	237200	63586	BC-19-2	BC	19	2	3766066	55.01273743	6.298349524	1.68839314
MBS746	4295750	526350	104049	BCBA-19-1	BCBA	19	1	7576666	56.69710134	6.946986973	1.373282127
MBS747	2542031	313307	58545	BCBA-19-2	BCBA	19	2	4029873	63.07968018	7.774612252	1.452775311
MBS748	2674109	316271	62133	BA-19-1	BA	19	1	4361394	61.31317189	7.251603501	1.424613323
MBS749	1755337	223703	46613	BA-19-2	BA	19	2	2965387	59.19419624	7.543804569	1.571902757
MBS750	7187386	1805262	82833	BTBA-19-1	BTBA	19	1	6861830	104.7444486	26.30875437	1.207156109
MBS751	5505460	1344929	67088	BTBA-19-2	BTBA	19	2	5648301	97.47108024	23.81121332	1.187755398
MBS753	2243081	265345	51488	PBS-19-2	PBS	19	2	3350821	66.94123619	7.91880557	1.536578647
MBS754	6284109	1731847	58564	BT-22-1	BT	22	1	5512241	114.0027985	31.41820178	1.062435405
MBS755	5159199	1344920	54180	BT-22-2	BT	22	2	4705906	109.6324278	28.57940639	1.151319215
MBS756	2167359	338982	58739	BC-22-1	BC	22	1	2807092	77.21011638	12.07591344	2.092521371
MBS757	1603742	189377	35099	BC-22-2	BC	22	2	2339724	68.54406759	8.093988864	1.500134204
MBS758	2383175	302303	51663	BCBA-22-1	BCBA	22	1	3958669	60.20142124	7.636480847	1.305059857
MBS759	1740790	206737	45572	BCBA-22-2	BCBA	22	2	2980631	58.40340519	6.936014555	1.528938
MBS760	1783100	227535	43723	BA-22-1	BA	22	1	2726866	65.39008517	8.344194398	1.603415789
MBS761	1320240	164106	33775	BA-22-2	BA	22	2	2338069	56.46711025	7.01886899	1.444568146
MBS762	6735261	1738845	70995	BTBA-22-1	BTBA	22	1	6185329	108.8909094	28.11240922	1.147796665
MBS763	3718010	855293	50439	BTBA-22-2	BTBA	22	2	3850957	96.54768931	22.20988186	1.309778323
MBS765	1538007	196655	35194	PBS-22-2	PBS	22	2	2122405	72.46529291	9.265667957	1.658213206
MBS766	10802615	2952838	99283	BT-25-1	BT	25	1	9341619	115.6396445	31.60948868	1.062802925
MBS767	7412143	1926795	76180	BT-25-2	BT	25	2	6699555	110.6363482	28.76004451	1.137090449
MBS768	1181844	168729	23675	BC-25-1	BC	25	1	1356393	87.13138449	12.43953633	1.745438085
MBS769	2060316	249856	57277	BC-25-2	BC	25	2	3561031	57.85728908	7.016394971	1.60843868
MBS770	2131319	260009	48642	BCBA-25-1	BCBA	25	1	3923052	54.32808436	6.627722498	1.239901995
MBS771	1574582	186936	44065	BCBA-25-2	BCBA	25	2	2621039	60.07472609	7.132133478	1.681203523
MBS772	3120051	394494	69308	BA-25-1	BA	25	1	4516489	69.0813373	8.734528081	1.534554828
MBS773	1640003	201166	42550	BA-25-2	BA	25	2	2895234	56.64492058	6.948177591	1.469656684
MBS774	5275841	1359285	55494	BTBA-25-1	BTBA	25	1	4923671	107.15259	27.60714516	1.127085867
MBS775	4164462	965177	48588	BTBA-25-2	BTBA	25	2	4195892	99.25093401	23.00290379	1.157989767
MBS777	3752595	883774	50856	PBS-25-2	PBS	25	2	3917268	95.79622839	22.56097872	1.298251741
MBS778	5224615	1420411	48732	BT-28-1	BT	28	1	4595067	113.7005184	30.91164938	1.060528606
MBS779	6866639	1811067	68525	BT-28-2	BT	28	2	6184430	111.0310732	29.28429944	1.108024507
MBS780	1089967	137830	16090	BC-28-1	BC	28	1	1176116	92.67512728	11.71908213	1.368062334
MBS781	1813005	218921	46282	BC-28-2	BC	28	2	2944114	61.58066569	7.435887333	1.572017931
MBS782	1375593	205750	37606	BCBA-28-1	BCBA	28	1	1865259	73.74809611	11.03063971	2.016127519
MBS783	1643182	200088	40420	BCBA-28-2	BCBA	28	2	2594412	63.33543015	7.712267751	1.557963808
MBS784	1417274	176761	35195	BA-28-1	BA	28	1	2296257	61.721053	7.697788183	1.532711713
MBS785	1820280	214928	46092	BA-28-2	BA	28	2	3243850	56.11480186	6.625707107	1.420904173
MBS786	5760600	1447116	62634	BTBA-28-1	BTBA	28	1	5495096	104.8316535	26.33468096	1.139816302
MBS787	3404384	739044	46516	BTBA-28-2	BTBA	28	2	3626736	93.8690878	20.3776619	1.282585774
MBS789	1999374	254003	46525	PBS-28-2	PBS	28	2	2797124	71.47963408	9.080863058	1.663315606
MBS794	4099812	511329	83385	BC-0-3	BC	0	3	5677636	72.20984227	9.006019407	1.468657026
MBS795	2013801	272691	42634	BC-0-4	BC	0	4	2674582	75.29404595	10.19564926	1.59404348
MBS796	1563938	210780	28364	BC-0-5	BC	0	5	1962312	79.69874312	10.74141115	1.44543783
MBS797	795888	106816	17669	BC-0-6	BC	0	6	1096306	72.59724931	9.74326511	1.611685059
MBS798	1781779	244299	34246	BA-0-3	BA	0	3	2150932	82.83753275	11.3578207	1.592147032
MBS799	978403	113253	22133	BA-0-4	BA	0	4	1348403	72.56013225	8.399046872	1.641423224
MBS800	791326	102323	17347	BA-0-5	BA	0	5	1179748	67.0758501	8.673292941	1.470398763
MBS801	1610001	206367	31868	BA-0-6	BA	0	6	2243874	71.75095393	9.196906778	1.420222348
MBS806	1363665	188371	29588	BCBA-0-3	BCBA	0	3	1855687	73.48572254	10.15101146	1.594449926
MBS807	1218115	153035	22623	BCBA-0-4	BCBA	0	4	1526811	79.78164946	10.02317903	1.481715812
MBS808	1683936	234640	41037	BCBA-0-5	BCBA	0	5	2385375	70.5941833	9.8366085	1.720358434
MBS809	1080013	153232	23433	BCBA-0-6	BCBA	0	6	1427192	75.6739808	10.73660727	1.641895414
MBS810	2558159	319631	53950	PBS-0-3	PBS	0	3	3306923	77.35768266	9.665510809	1.631425951
