	P10E0	P10E7	P10E90	P11E0	P11E7	P11E90	P13E0	P13E7	P13E90	P17E0	P17E7	P17E90	P18E0	P18E7	P18E90	P12E0	P12E7	P12E90	P14E0	P14E7	P14E90	P15E0	P15E7	P15E90	P19E0	P19E7	P19E90	P20E0	P20E7	P20E90	P21E0	P21E7	P21E90	P2E0	P2E7	P2E90	P4E0	P4E7	P4E90	P5E0	P5E7	P5E90
Roseburia hominis	1.019157088	1.11627907	1.159849757	NA	NA	NA	1.084630096	1.034482759	1.047619048	1.151351351	NA	NA	1.125988378	NA	1.081005587	NA	NA	NA	1.194029851	NA	1.148568696	NA	NA	1.115124154	1.156659233	1.120598562	1.097065338	1.1158432	NA	NA	NA	NA	NA	1.011148909	0.928154472	NA	1.112676056	NA	NA	NA	NA	NA
Bifidobacterium adolescentis	1.128865979	NA	1.168375749	1.209302298	NA	1.217666357	1.196871372	NA	1.143095321	NA	NA	1.204576284	1.138399314	NA	1.175776312	NA	NA	NA	NA	NA	1.157622738	NA	NA	1.125	1.270491803	NA	1.204678363	1.156769841	NA	NA	NA	NA	NA	1.204081633	1.124996757	1.125	NA	NA	NA	NA	NA	NA
Gordonibacter pamelaeae	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	1.09375	1.214285714	1.14518278	1.303030303	1.148846044	NA	1.260593402	NA	NA	NA	1	NA	1	1.181818182	NA	1	NA	NA	NA	1.182148062	1.199389505	1.119202647	NA	NA	NA	NA	NA	NA	1.265466499	1.00043234	NA
Bacteroides fragilis	1.288421053	1.331797031	1.336754086	NA	NA	NA	1.2	1.222222222	NA	NA	NA	NA	1.138441359	0.959526762	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.276105405	1.285209248	1.206534336	1.38286019	1.378031327	1.319763315	1.310344828	NA	1.298911485	NA	NA	1.290737037
Coprococcus catus	1.125	NA	1.146341463	1	NA	NA	NA	NA	1.272727273	1.214285714	NA	1.140350877	1.173913044	NA	1.184	NA	NA	NA	NA	NA	1.066666667	1.260682002	NA	NA	1.142857143	NA	1.181818182	1.086956522	NA	NA	1.071428571	NA	1.066666667	1.2	NA	NA	NA	NA	NA	NA	NA	NA
Veillonella parvula	NA	NA	1.05	NA	NA	NA	1.176470588	NA	1.111111111	1.047619048	NA	NA	1.196428571	NA	1.15	NA	NA	NA	NA	NA	NA	1.067567568	NA	1.166666667	NA	NA	NA	1.272040302	NA	1.12	NA	NA	NA	1.058823529	NA	0.966666667	1.040540541	NA	1.085	NA	NA	1.00742115
Streptococcus parasanguinis	NA	NA	1.666666667	NA	NA	1.751538208	1.714285714	NA	NA	NA	NA	1.454328972	1.571428571	NA	NA	NA	NA	NA	NA	NA	1.505656853	1.610580221	NA	NA	1.502053876	NA	1.5	1.491373001	NA	1.678092319	NA	NA	NA	NA	NA	1.615436301	1.586579224	NA	NA	NA	NA	1.471353402
Methanobrevibacter smithii	0.864197531	0.888888889	0.912891986	NA	NA	NA	0.908121374	0.926536732	0.907514451	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.962406015	0.885057471	0.93902439	NA	NA	0.833333333	0.906133134	0.845906902	0.820512821	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Akkermansia muciniphila	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.221661313	1.208662791	NA	1.298017321	NA	NA	NA	NA	NA	NA	NA	NA	1.000004642	1.168358635	1.155137482	1.174307838	NA	NA	NA	1.199825838	1.179022028	1.166767001	1.202386872	1.201070336	NA	NA	NA	NA	NA	NA	NA
Haemophilus parainfluenzae	NA	NA	1.4	1.360201511	NA	NA	NA	NA	1.499986689	1.428571429	NA	1.411762505	NA	NA	1.4	NA	NA	NA	NA	NA	1.49988463	1.32745098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.355280687	1.4375	1.329113923	1.410714286	NA	NA	NA	NA	NA
Shigella sonnei	NA	NA	NA	NA	NA	NA	1.460233176	NA	NA	NA	NA	NA	NA	1.59268723	0.927858045	NA	1.476923821	NA	NA	NA	NA	NA	NA	NA	NA	1.267371986	NA	1.583591985	1.734831197	NA	NA	NA	1.269210104	NA	NA	1.212910355	NA	1.490221623	1.345372682	NA	NA	NA
Lactococcus lactis	NA	NA	1	NA	NA	1.2	1.166666667	1.271843867	1.32	NA	NA	NA	NA	NA	1.333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.066142708	NA	NA	NA	NA	NA	NA	NA	NA	1.125	NA	NA	NA	NA	1.137931035
Shigella dysenteriae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.595954675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.20604841	NA	1.557212305	1.5761422	1.206200652	NA	NA	1.278961386	NA	NA	NA	NA	1.602299465	1.452531877	NA	NA	1.23389471
Shigella flexneri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.099133723	1.1555047	1.220976941	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.471020404	1.48199028	NA	NA	NA	1.267358121	NA	NA	1.297980422	NA	1.321757608	1.276967726	NA	NA	NA
Bifidobacterium bifidum	1.216200127	NA	1.120689655	1.285714286	NA	1.218696563	1.29039457	NA	1.245147707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.223279056	NA	1.19900213
Clostridium saccharolyticum	1.172662809	NA	1.365623916	NA	1.03070247	NA	NA	NA	NA	1.2299581	1.198055171	1.22449672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.070387317	1.204971716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Coprococcus sp. ART55/1	1.114155251	1.169014085	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.087286528	1.092544987	1.125842697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.213592233	NA	NA	NA	NA	NA	NA
Enterobacter cloacae	NA	NA	NA	NA	1.537506811	NA	NA	NA	NA	1.333333333	NA	1.375	NA	1.320431374	NA	NA	1.382014607	NA	NA	NA	NA	NA	1.250111286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4	NA
Klebsiella pneumoniae	1.666574949	1.333332149	NA	NA	NA	1.692316741	NA	NA	NA	1.874500912	NA	NA	NA	NA	1.499958036	NA	1.474985009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bifidobacterium animalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.199975024	NA	1.218181818	NA	NA	NA	1.32032967	NA	NA	NA	NA	1.388349515	NA	NA	1.245283019	NA	NA	NA	NA	NA	NA
Acidaminococcus intestini	NA	NA	NA	1.1517252	NA	1.100442132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.213235294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Methanosphaera stadtmanae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1875	1	1.159722222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Streptococcus sp. I-P16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	1.301609596	NA	1.38982063	NA	NA	NA	NA	NA	NA
Eubacterium limosum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.208333333	1.214285714	NA	NA	NA	NA	NA	NA	NA	NA	NA
Klebsiella variicola	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.701276896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.595260933	NA	NA
Megamonas hypermegale	NA	NA	NA	1.235294118	NA	1.221238938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Streptococcus sp. I-G2	NA	NA	NA	NA	NA	1.187577927	NA	NA	NA	NA	NA	NA	NA	NA	1.285755222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Citrobacter koseri	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.428571429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lactobacillus acidophilus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.54189943	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lactobacillus casei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Megasphaera elsdenii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.041666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Shigella boydii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.400706928	NA	NA	NA
Streptococcus gordonii	1.468739327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Streptococcus oralis	1.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Community Growth Rate	1.16265345	1	1.152127244	1.084782972	1	1.081314142	1.142098031	1.115733451	1.101544252	1.146327181	1.059220701	1.146564984	1.143271954	1	1.112510146	1	1	1	1.032152444	1.075332323	1.136486407	1.151482863	1	1.156495211	1.049582334	1.021355597	1.045705092	1.061277603	1	1	1.024786733	1.000629723	1.001331853	1.063044709	1.066028944	1.045439127	1.071993127	1	1	1.049659193	1	1.031633849
